Id,Category
0,paint
1,paint
2,pool
3,sailb
4,nail
5,sailb
6,sailb
7,sailb
8,paint
9,spoon
10,paint
11,paint
12,mouth
13,empty
14,mouth
15,screw
16,parro
17,mouth
18,skate
19,skate
20,pool
21,parro
22,rhino
23,skate
24,pinea
25,octag
26,rolle
27,octag
28,pool
29,mug
30,sailb
31,skull
32,pinea
33,sailb
34,skull
35,scorp
36,pool
37,moust
38,moust
39,squig
40,octag
41,rolle
42,paint
43,mouth
44,screw
45,mouth
46,rabbi
47,pengu
48,rifle
49,pool
50,mouth
51,sailb
52,paint
53,rolle
54,rolle
55,moust
56,pool
57,pinea
58,mouth
59,rolle
60,octag
61,sailb
62,mouth
63,mouth
64,pool
65,pinea
66,pinea
67,pool
68,nail
69,paint
70,squig
71,mouth
72,pool
73,rolle
74,octag
75,empty
76,rifle
77,rifle
78,rifle
79,paint
80,moust
81,rolle
82,paint
83,rolle
84,rifle
85,rabbi
86,octag
87,mouth
88,mouth
89,moust
90,apple
91,sailb
92,paint
93,paint
94,rolle
95,mug
96,pinea
97,pool
98,rolle
99,pinea
100,pinea
101,skate
102,skull
103,sailb
104,mouth
105,pinea
106,pengu
107,skull
108,octag
109,paint
110,pengu
111,paint
112,mouth
113,sailb
114,pinea
115,apple
116,rifle
117,mouth
118,rolle
119,rifle
120,skull
121,mouth
122,skull
123,sailb
124,rolle
125,rifle
126,screw
127,skull
128,mouth
129,panda
130,octag
131,sailb
132,paint
133,parro
134,sailb
135,mug
136,paint
137,pool
138,octag
139,scorp
140,mouth
141,pool
142,moust
143,panda
144,rolle
145,screw
146,skull
147,mouth
148,pinea
149,pinea
150,screw
151,pinea
152,pengu
153,sailb
154,paint
155,paint
156,pengu
157,pengu
158,octag
159,rabbi
160,paint
161,pengu
162,mouth
163,skate
164,rifle
165,rabbi
166,screw
167,rolle
168,pool
169,paint
170,pinea
171,sailb
172,squig
173,screw
174,skull
175,apple
176,pinea
177,rolle
178,rifle
179,mouth
180,mouth
181,pool
182,sailb
183,paint
184,skate
185,paint
186,rifle
187,paint
188,rhino
189,paint
190,paint
191,pengu
192,rabbi
193,skate
194,sailb
195,pinea
196,pinea
197,paint
198,apple
199,sailb
200,pinea
201,pengu
202,sailb
203,rabbi
204,skate
205,pengu
206,paint
207,pinea
208,scorp
209,scorp
210,moust
211,pool
212,mouth
213,rolle
214,squig
215,paint
216,mouth
217,rolle
218,rolle
219,sailb
220,apple
221,rabbi
222,paint
223,rabbi
224,rabbi
225,screw
226,rhino
227,skull
228,pillo
229,parro
230,sailb
231,pinea
232,octag
233,mouth
234,panda
235,mouth
236,mouth
237,pengu
238,sailb
239,sailb
240,parro
241,paint
242,sailb
243,skate
244,paint
245,sailb
246,rifle
247,rolle
248,skate
249,mouth
250,pool
251,pengu
252,rolle
253,rifle
254,sailb
255,skull
256,mouth
257,pool
258,rifle
259,pinea
260,sailb
261,mouth
262,panda
263,mouth
264,pinea
265,rabbi
266,sailb
267,sailb
268,rolle
269,pool
270,pinea
271,pengu
272,sailb
273,octag
274,mouth
275,mouth
276,rifle
277,mouth
278,octag
279,mouth
280,paint
281,rifle
282,pengu
283,octag
284,empty
285,pool
286,sailb
287,squig
288,sailb
289,nail
290,pinea
291,mouth
292,mug
293,screw
294,pear
295,skate
296,pool
297,mouth
298,mouth
299,empty
300,sailb
301,pinea
302,pool
303,rolle
304,sailb
305,rifle
306,scorp
307,mouth
308,pengu
309,sailb
310,mug
311,skull
312,paint
313,sailb
314,mouth
315,paint
316,octag
317,rolle
318,paint
319,sailb
320,rifle
321,parro
322,sailb
323,paint
324,moust
325,sailb
326,squig
327,sailb
328,rhino
329,pool
330,paint
331,sailb
332,rolle
333,apple
334,apple
335,skate
336,rolle
